ITEM NO.,UNITS,LS UNITS,DESCRIPTION
660-0318,LF,* * * Requires Special Provision * * *,"SAN SEWER PIPE, 18 IN, CONCRETE"
660-0324,LF,* * * Requires Special Provision * * *,"SAN SEWER PIPE, 24 IN, CONCRETE"
660-0326,LF,* * * Requires Special Provision * * *,"SAN SEWER PIPE, 24 IN, RCP, INCL PVC LINER"
660-0330,LF,* * * Requires Special Provision * * *,"SAN SEWER PIPE, 30 IN, CONCRETE"
660-0333,LF,* * * Requires Special Provision * * *,"SAN SEWER PIPE, 33 IN, CONCRETE"
660-0342,LF,* * * Requires Special Provision * * *,"SAN SEWER PIPE, 42 IN, CONCRETE"
660-0352,LF,* * * Requires Special Provision * * *,"SAN SEWER PIPE, 48 IN, RCP, INCL PVC LINER"
660-0502,LF,* * * Requires Special Provision * * *,"STORM WATER PIPE, 36 IN, STEEL"
660-0506,LF,* * * Requires Special Provision * * *,"SAN SEWER PIPE, 6 IN, STEEL"
660-0604,LF,* * * Requires Special Provision * * *,"SAN SEWER PIPE, 4 IN, CAST IRON"
660-0608,LF,* * * Requires Special Provision * * *,"SAN SEWER PIPE, 8 IN, CAST IRON"
660-0803,LF,* * * Requires Special Provision * * *,"SAN SEWER PIPE, 3 IN, DUCTILE PIPE"
660-0804,LF,* * * Requires Special Provision * * *,"SAN SEWER PIPE, 4 IN, DUCTILE IRON"
660-0806,LF,* * * Requires Special Provision * * *,"SAN SEWER PIPE, 6 IN, DUCTILE IRON"
660-0808,LF,* * * Requires Special Provision * * *,"SAN SEWER PIPE, 8 IN, DUCTILE IRON"
660-0810,LF,* * * Requires Special Provision * * *,"SAN SEWER PIPE, 10 IN, DUCTILE IRON"
660-0812,LF,* * * Requires Special Provision * * *,"SAN SEWER PIPE, 12 IN, DUCTILE IRON"
660-0816,LF,* * * Requires Special Provision * * *,"SAN SEWER PIPE, 16 IN, DUCTILE IRON"
660-0818,LF,* * * Requires Special Provision * * *,"SAN SEWER PIPE, 18 IN, DUCTILE IRON"
660-0820,LF,* * * Requires Special Provision * * *,"SAN SEWER PIPE, 20 IN, DUCTILE IRON"
660-0824,LF,* * * Requires Special Provision * * *,"SAN SEWER PIPE, 24 IN, DUCTILE IRON"
660-0830,LF,* * * Requires Special Provision * * *,"SAN SEWER PIPE, 30 IN, DUCTILE IRON"
660-0836,LF,* * * Requires Special Provision * * *,"SAN SEWER PIPE, 36 IN, DUCTILE IRON"
660-0842,LF,* * * Requires Special Provision * * *,"SAN SEWER PIPE, 42 IN, DUCTILE IRON"
660-1000,LS,* * * Requires Special Provision * * *,SEWAGE UV DISINFECTION STATION
660-1100,EA,* * * Requires Special Provision * * *,RELOCATE PUMP STATION
660-1110,EA,* * * Requires Special Provision * * *,TEMPORARY BYPASS PUMPING SYSTEM INSTALLATION
660-1112,L S,* * * Requires Special Provision * * *,TEMPORARY BYPASS PUMPING SYSTEM
660-1115,EA,* * * Requires Special Provision * * *,TEMPORARY BYPASS PUMPING SYSTEM DECOMMISSIONING
660-1117,L S,* * * Requires Special Provision * * *,"SEWER PUMP STATION, REMOVE"
660-1118,L S,* * * Requires Special Provision * * *,"SEWER PUMP STATION, NO -"
660-1120,HOUR,* * * Requires Special Provision * * *,TEMPORARY BYPASS PUMPING
660-1150,EA,,CUT & PLUG EXISTING SEWER MAIN
660-1205,LF,* * * Requires Special Provision * * *,"SEWER FORCE MAIN, 2 IN, -"
660-1210,LF,* * * Requires Special Provision * * *,"SEWER FORCE MAIN, 3 IN, -"
660-1215,LF,* * * Requires Special Provision * * *,"SEWER FORCE MAIN, 4 IN, -"
660-1217,LF,* * * Requires Special Provision * * *,"SEWER FORCE MAIN, 4 IN, FUSIBLE PVC"
660-1218,LF,* * * Requires Special Provision * * *,"SEWER FORCE MAIN, 4 IN, HDPE"
660-1220,LF,* * * Requires Special Provision * * *,"SEWER FORCE MAIN, 6 IN, -"
660-1225,LF,* * * Requires Special Provision * * *,"SEWER FORCE MAIN, 8 IN, -"
660-1230,LF,* * * Requires Special Provision * * *,"SEWER FORCE MAIN, 10 IN, -"
660-1235,LF,* * * Requires Special Provision * * *,"SEWER FORCE MAIN, 12 IN, -"
660-1238,LF,* * * Requires Special Provision * * *,"SEWER FORCE MAIN, 12 IN, HDPE"
660-1240,LF,* * * Requires Special Provision * * *,"SEWER FORCE MAIN, 14 IN, -"
660-1245,LF,* * * Requires Special Provision * * *,"SEWER FORCE MAIN, 16 IN, -"
660-1405,LF,* * * Requires Special Provision * * *,"GRAVITY SEWER MAIN, 2 IN, -"
660-1410,LF,* * * Requires Special Provision * * *,"GRAVITY SEWER MAIN, 3 IN, -"
660-1415,LF,* * * Requires Special Provision * * *,"GRAVITY SEWER MAIN, 4 IN, -"
660-1420,LF,* * * Requires Special Provision * * *,"GRAVITY SEWER MAIN, 6 IN, -"
660-1425,LF,* * * Requires Special Provision * * *,"GRAVITY SEWER MAIN, 8 IN, -"
660-1430,LF,* * * Requires Special Provision * * *,"GRAVITY SEWER MAIN, 10 IN, -"
660-1435,LF,* * * Requires Special Provision * * *,"GRAVITY SEWER MAIN, 12 IN, -"
660-1440,LF,* * * Requires Special Provision * * *,"GRAVITY SEWER MAIN, 14 IN, -"
660-1445,LF,* * * Requires Special Provision * * *,"GRAVITY SEWER MAIN, 16 IN, -"
660-1500,LF,* * * Requires Special Provision * * *,SEWER FORCE MAIN -
660-1510,LF,* * * Requires Special Provision * * *,GRAVITY SEWER MAIN -
660-1520,LF,* * * Requires Special Provision * * *,"SEWER MAIN, DUCTILE IRON -"
660-1530,LF,* * * Requires Special Provision * * *,"SEWER MAIN, FUSIBLE PVC -"
660-1540,LF,* * * Requires Special Provision * * *,"SEWER MAIN, HDPE -"
660-1575,LF,* * * Requires Special Provision * * *,"SAN SEWER PIPE, CONCRETE -"
660-1600,LF,* * * Requires Special Provision * * *,"CURED-IN-PLACE PIPE (CIPP), CONCRETE -"
660-1605,LF,* * * Requires Special Provision * * *,"SEWER MAIN, DUCTILE IRON,  2 IN"
660-1610,LF,* * * Requires Special Provision * * *,"SEWER MAIN, DUCTILE IRON,  3 IN"
660-1615,LF,* * * Requires Special Provision * * *,"SEWER MAIN, DUCTILE IRON,  4 IN"
660-1620,LF,* * * Requires Special Provision * * *,"SEWER MAIN, DUCTILE IRON,  6 IN"
660-1625,LF,* * * Requires Special Provision * * *,"SEWER MAIN, DUCTILE IRON,  8 IN"
660-1627,LF,* * * Requires Special Provision * * *,"CURED-IN-PLACE PIPE (CIPP), TERRA-COTTA PIPE - 8 IN"
660-1630,LF,* * * Requires Special Provision * * *,"SEWER MAIN, DUCTILE IRON,  10 IN"
660-1632,LF,* * * Requires Special Provision * * *,"CURED-IN-PLACE PIPE (CIPP), TERRA-COTTA PIPE - 10 IN"
660-1635,LF,* * * Requires Special Provision * * *,"SEWER MAIN, DUCTILE IRON,  12 IN"
660-1640,LF,* * * Requires Special Provision * * *,"SEWER MAIN, DUCTILE IRON,  14 IN"
660-1645,LF,* * * Requires Special Provision * * *,"SEWER MAIN, DUCTILE IRON,  16 IN"
660-1705,LF,* * * Requires Special Provision * * *,"SEWER MAIN, FUSIBLE PVC,  2 IN"
660-1710,LF,* * * Requires Special Provision * * *,"SEWER MAIN, FUSIBLE PVC,  3 IN"
660-1715,LF,* * * Requires Special Provision * * *,"SEWER MAIN, FUSIBLE PVC,  4 IN"
660-1720,LF,* * * Requires Special Provision * * *,"SEWER MAIN, FUSIBLE PVC,  6 IN"
660-1725,LF,* * * Requires Special Provision * * *,"SEWER MAIN, FUSIBLE PVC,  8 IN"
660-1730,LF,* * * Requires Special Provision * * *,"SEWER MAIN, FUSIBLE PVC,  10 IN"
660-1735,LF,* * * Requires Special Provision * * *,"SEWER MAIN, FUSIBLE PVC,  12 IN"
660-1740,LF,* * * Requires Special Provision * * *,"SEWER MAIN, FUSIBLE PVC,  14 IN"
660-1745,LF,* * * Requires Special Provision * * *,"SEWER MAIN, FUSIBLE PVC,  16 IN"
660-1805,LF,* * * Requires Special Provision * * *,"SEWER MAIN, HDPE,  2 IN"
660-1810,LF,* * * Requires Special Provision * * *,"SEWER MAIN, HDPE,  3 IN"
660-1815,LF,* * * Requires Special Provision * * *,"SEWER MAIN, HDPE,  4 IN"
660-1820,LF,* * * Requires Special Provision * * *,"SEWER MAIN, HDPE,  6 IN"
660-1825,LF,* * * Requires Special Provision * * *,"SEWER MAIN, HDPE,  8 IN"
660-1830,LF,* * * Requires Special Provision * * *,"SEWER MAIN, HDPE,  10 IN"
660-1835,LF,* * * Requires Special Provision * * *,"SEWER MAIN, HDPE,  12 IN"
660-1840,LF,* * * Requires Special Provision * * *,"SEWER MAIN, HDPE,  14 IN"
660-1845,LF,* * * Requires Special Provision * * *,"SEWER MAIN, HDPE,  16 IN"
660-1905,EA,* * * Requires Special Provision * * *,"GATE VALVE, 2 IN"
660-1910,EA,* * * Requires Special Provision * * *,"GATE VALVE, 3 IN"
660-1915,EA,* * * Requires Special Provision * * *,"GATE VALVE, 4 IN"
660-1920,EA,* * * Requires Special Provision * * *,"GATE VALVE, 6 IN"
660-1925,EA,* * * Requires Special Provision * * *,"GATE VALVE, 8 IN"
660-1930,EA,* * * Requires Special Provision * * *,"GATE VALVE, 10 IN"
660-1935,EA,* * * Requires Special Provision * * *,"GATE VALVE, 12 IN"
660-1940,EA,* * * Requires Special Provision * * *,"GATE VALVE, 14 IN"
660-1945,EA,* * * Requires Special Provision * * *,"GATE VALVE, 16 IN"
660-2000,EA,* * * Requires Special Provision * * *,GATE VALVE -
660-2010,EA,* * * Requires Special Provision * * *,CHECK VALVE -
660-2020,EA,* * * Requires Special Provision * * *,PLUG VALVE -
660-2030,EA,* * * Requires Special Provision * * *,INSERTION VALVE -
660-2040,EA,* * * Requires Special Provision * * *,AIR RELEASE VALVE ASSEMBLY -
660-2042,LF,* * * Requires Special Provision * * *,"SEWER LATERAL, 4 IN"
660-2043,LF,* * * Requires Special Provision * * *,"SEWER LATERAL, 6 IN"
660-2045,LF,* * * Requires Special Provision * * *,"SEWER LATERAL, 8 IN"
660-2047,LF,* * * Requires Special Provision * * *,"SEWER LATERAL, 10 IN"
660-2050,EA,* * * Requires Special Provision * * *,SEWER LATERAL -
660-2070,EA,* * * Requires Special Provision * * *,LINE STOP -
660-2090,EA,* * * Requires Special Provision * * *,ABANDON SEWER VALVES
660-2105,EA,* * * Requires Special Provision * * *,"CHECK VALVE, 2 IN"
660-2110,EA,* * * Requires Special Provision * * *,"CHECK VALVE, 3 IN"
660-2115,EA,* * * Requires Special Provision * * *,"CHECK VALVE, 4 IN"
660-2120,EA,* * * Requires Special Provision * * *,"CHECK VALVE, 6 IN"
660-2125,EA,* * * Requires Special Provision * * *,"CHECK VALVE, 8 IN"
660-2130,EA,* * * Requires Special Provision * * *,"CHECK VALVE, 10 IN"
660-2135,EA,* * * Requires Special Provision * * *,"CHECK VALVE, 12 IN"
660-2140,EA,* * * Requires Special Provision * * *,"CHECK VALVE, 14 IN"
660-2145,EA,* * * Requires Special Provision * * *,"CHECK VALVE, 16 IN"
660-2205,EA,* * * Requires Special Provision * * *,"PLUG VALVE, 2 IN"
660-2210,EA,* * * Requires Special Provision * * *,"PLUG VALVE, 3 IN"
660-2215,EA,* * * Requires Special Provision * * *,"PLUG VALVE, 4 IN"
660-2220,EA,* * * Requires Special Provision * * *,"PLUG VALVE, 6 IN"
660-2225,EA,* * * Requires Special Provision * * *,"PLUG VALVE, 8 IN"
660-2230,EA,* * * Requires Special Provision * * *,"PLUG VALVE, 10 IN"
660-2235,EA,* * * Requires Special Provision * * *,"PLUG VALVE, 12 IN"
660-2240,EA,* * * Requires Special Provision * * *,"PLUG VALVE, 14 IN"
660-2245,EA,* * * Requires Special Provision * * *,"PLUG VALVE, 16 IN"
660-2305,EA,* * * Requires Special Provision * * *,"INSERTION VALVE, 2 IN"
660-2310,EA,* * * Requires Special Provision * * *,"INSERTION VALVE, 3 IN"
660-2315,EA,* * * Requires Special Provision * * *,"INSERTION VALVE, 4 IN"
660-2320,EA,* * * Requires Special Provision * * *,"INSERTION VALVE, 6 IN"
660-2325,EA,* * * Requires Special Provision * * *,"INSERTION VALVE, 8 IN"
660-2330,EA,* * * Requires Special Provision * * *,"INSERTION VALVE, 10 IN"
660-2335,EA,* * * Requires Special Provision * * *,"INSERTION VALVE, 12 IN"
660-2340,EA,* * * Requires Special Provision * * *,"INSERTION VALVE, 14 IN"
660-2345,EA,* * * Requires Special Provision * * *,"INSERTION VALVE, 16 IN"
660-2405,EA,* * * Requires Special Provision * * *,"AIR RELEASE VALVE ASSEMBLY, 2 IN"
660-2410,EA,* * * Requires Special Provision * * *,"AIR RELEASE VALVE ASSEMBLY, 3 IN"
660-2415,EA,* * * Requires Special Provision * * *,"AIR RELEASE VALVE ASSEMBLY, 4 IN"
660-2420,EA,* * * Requires Special Provision * * *,"AIR RELEASE VALVE ASSEMBLY, 6 IN"
660-2425,EA,* * * Requires Special Provision * * *,"AIR RELEASE VALVE ASSEMBLY, 8 IN"
660-2430,EA,* * * Requires Special Provision * * *,"AIR RELEASE VALVE ASSEMBLY, 10 IN"
660-2435,EA,* * * Requires Special Provision * * *,"AIR RELEASE VALVE ASSEMBLY, 12 IN"
660-2440,EA,* * * Requires Special Provision * * *,"AIR RELEASE VALVE ASSEMBLY, 14 IN"
660-2445,EA,* * * Requires Special Provision * * *,"AIR RELEASE VALVE ASSEMBLY, 16 IN"
660-2600,EA,* * * Requires Special Provision * * *,SEWER CLEANOUTS
660-3015,EA,* * * Requires Special Provision * * *,"TAPPING SLEEVE & VALVE ASSEMBLY, -"
660-3169,EA,* * * Requires Special Provision * * *,"TAPPING SLEEVE & VALVE ASSEMBLY, 16 IN X 12 IN"
660-3225,EA,* * * Requires Special Provision * * *,RAISE MANHOLE GREATER THAN 6 FT
660-3275,EA,* * * Requires Special Provision * * *,ABANDON MANHOLE
660-3300,EA,* * * Requires Special Provision * * *,PIPE FOUNDATIONS / PIERS FOR AERIAL CROSSINGS
660-3500,CY,* * * Requires Special Provision * * *,REPLACEMENT OF UNSUITABLE TRENCH MATERIAL
660-3550,CY,* * * Requires Special Provision * * *,ROCK EXCAVATION
660-3900,LF,* * * Requires Special Provision * * *,STEEL CASING -
660-4015,LF,* * * Requires Special Provision * * *,"STEEL CASING, 8 IN"
660-4018,LF,* * * Requires Special Provision * * *,"HDPE CASING, 8 IN"
660-4020,LF,* * * Requires Special Provision * * *,"STEEL CASING, 10 IN"
660-4025,LF,* * * Requires Special Provision * * *,"STEEL CASING, 12 IN"
660-4030,LF,* * * Requires Special Provision * * *,"STEEL CASING, 14 IN"
660-4035,LF,* * * Requires Special Provision * * *,"STEEL CASING, 16 IN"
660-4038,LF,* * * Requires Special Provision * * *,"HDPE CASING, 16 IN"
660-4040,LF,* * * Requires Special Provision * * *,"STEEL CASING, 18 IN"
660-4045,LF,* * * Requires Special Provision * * *,"STEEL CASING, 20 IN"
660-4050,LF,* * * Requires Special Provision * * *,"STEEL CASING, 22 IN"
660-4055,LF,* * * Requires Special Provision * * *,"STEEL CASING, 24 IN"
660-4060,LF,* * * Requires Special Provision * * *,"STEEL CASING, 30 IN"
660-4065,LF,* * * Requires Special Provision * * *,"STEEL CASING, 36 IN"
660-4070,LF,* * * Requires Special Provision * * *,"STEEL CASING, 42 IN"
660-4100,LF,* * * Requires Special Provision * * *,"STEEL CASING, 72 IN"
660-5010,SF,* * * Requires Special Provision * * *,VOID - CAN REUSE THIS NUMBER IF NEEDED - SC 10/8/20
6604020,LF,* * * Requires Special Provision * * *,"STEEL CASING, 10 IN"
661-0100,SY,* * * Requires Special Provision * * *,WET WEATHER EPOXY TRAFFIC STRIPE -
661-0110,LM,* * * Requires Special Provision * * *,WET WEATHER SOLID EPOXY TRAFFIC STRIPE -
661-0120,GLM,* * * Requires Special Provision * * *,WET WEATHER SKIP EPOXY TRAFFIC STRIPE -
661-0130,LF,* * * Requires Special Provision * * *,WET WEATHER SOLID EPOXY TRAFFIC STRIPE -
661-0140,GLF,* * * Requires Special Provision * * *,WET WEATHER SKIP EPOXY TRAFFIC STRIPE -
661-0170,EA,* * * Requires Special Provision * * *,"WET WEATHER EPOXY PAVEMENT MARKINGS, WORDS, SYMBOLS -"
661-0200,SY,* * * Requires Special Provision * * *,STANDARD EPOXY TRAFFIC STRIPE -
661-0210,LM,* * * Requires Special Provision * * *,STANDARD SOLID EPOXY TRAFFIC STRIPE -
661-0220,GLM,* * * Requires Special Provision * * *,STANDARD SKIP EPOXY TRAFFIC STRIPE -
661-0230,LF,* * * Requires Special Provision * * *,STANDARD SOLID EPOXY TRAFFIC STRIPE -
661-0240,GLF,* * * Requires Special Provision * * *,STANDARD SKIP EPOXY TRAFFIC STRIPE -
661-0270,EA,* * * Requires Special Provision * * *,"STANDARD EPOXY PAVEMENT MARKINGS, WORDS, SYMBOLS -"
662-8000,LF,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SOLID TRAFFIC STRIPE, 5 IN, WHITE"
662-8001,LM,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SOLID TRAFFIC STRIPE, 5 IN, WHITE"
662-8002,LF,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SOLID TRAFFIC STRIPE, 5 IN, YELLOW"
662-8003,LM,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SOLID TRAFFIC STRIPE, 5 IN, YELLOW"
662-8006,LF,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SOLID TRAFFIC STRIPE, 6 IN, WHITE"
662-8007,LM,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SOLID TRAFFIC STRIPE, 6 IN, WHITE"
662-8008,LF,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SOLID TRAFFIC STRIPE, 6 IN, YELLOW"
662-8009,LM,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SOLID TRAFFIC STRIPE, 6 IN, YELLOW"
662-8010,LF,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SOLID TRAFFIC STRIPE, 8 IN, WHITE"
662-8011,LM,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SOLID TRAFFIC STRIPE, 8 IN, WHITE"
662-8012,LF,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SOLID TRAFFIC STRIPE, 8 IN, YELLOW"
662-8013,LM,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SOLID TRAFFIC STRIPE, 8 IN, YELLOW"
662-8014,LF,* * * Requires Special Provision * * *,"INTERGRATED MUTIPOLYMER SOLID TRAFFIC STRIPE, 10 IN, WHITE"
662-8015,LM,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SOLID TRAFFIC STRIPE, 10 IN, WHITE"
662-8016,LF,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SOLID TRAFFIC STRIPE, 10 IN, YELLOW"
662-8017,LM,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SOLID TRAFFIC STRIPE, 10 IN, YELLOW"
662-8018,LF,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SD TRAFFIC STRIPE, 12 IN, WHITE"
662-8019,LF,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SD TRAFFIC STRIPE, 12 IN, YELLOW"
662-8020,LF,* * * Requires Special Provision * * *,"INTERGRATED MUTIPOLYMER SOLID TRAFFIC STRIPE, 24 IN, WHITE"
662-8021,LM,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SD TRAFFIC STRIPE, 24 IN, WHITE"
662-8022,LF,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SD TRAFFIC STRIPE, 24 IN, YELLOW"
662-8023,LM,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SD TRAFFIC STRIPE, 24 IN, YELLOW"
662-8100,GLF,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SKIP TRAFFIC STRIPE, 5 IN, WHITE"
662-8101,GLF,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SKIP TRAFFIC STRIPE, 5 IN, BLACK"
662-8102,GLM,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SKIP TRAFFIC STRIPE, 5 IN, WHITE"
662-8103,GLM,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SKIP TRAFFIC STRIPE, 5 IN, BLACK"
662-8104,GLF,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SKIP TRAFFIC STRIPE, 5 IN, YELLOW"
662-8105,GLM,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SKIP TRAFFIC STRIPE, 5 IN, YELLOW"
662-8106,GLF,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SKIP TRAFFIC STRIPE, 6 IN, WHITE"
662-8107,GLF,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SKIP TRAFFIC STRIPE, 6 IN, BLACK"
662-8108,GLM,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SKIP TRAFFIC STRIPE, 6 IN, WHITE"
662-8109,GLM,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SKIP TRAFFIC STRIPE, 6 IN, BLACK"
662-8110,GLF,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SKIP TRAFFIC STRIPE, 6 IN, YELLOW"
662-8111,GLM,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SKIP TRAFFIC STRIPE, 6 IN, YELLOW"
662-8112,GLF,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SKIP TRAFFIC STRIPE, 8 IN, WHITE"
662-8113,GLF,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SKIP TRAFFIC STRIPE, 8 IN, BLACK"
662-8114,GLM,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SKIP TRAFFIC STRIPE, 8 IN, WHITE"
662-8115,GLM,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SKIP TRAFFIC STRIPE, 8 IN, BLACK"
662-8116,GLF,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SKIP TRAFFIC STRIPE, 8 IN, YELLOW"
662-8117,GLM,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SKIP TRAFFIC STRIPE, 8 IN, YELLOW"
662-8120,GLF,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SKIP TRAFFIC STRIPE, 10 IN, WHITE"
662-8121,GLF,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SKIP TRAFFIC STRIPE, 10 IN, BLACK"
662-8122,GLM,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SKIP TRAFFIC STRIPE, 10 IN, WHITE"
662-8123,GLM,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SKIP TRAFFIC STRIPE, 10 IN, BLACK"
662-8124,GLF,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SKIP TRAFFIC STRIPE, 10 IN, YELLOW"
662-8125,GLM,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SKIP TRAFFIC STRIPE, 10 IN, YELLOW"
662-8127,LF,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER SKIP TRAFFIC STRIPE, 18 IN, WHITE"
662-8130,SY,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER TRAFFIC STRIPE, WHITE"
662-8131,SY,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER TRAFFIC STRIPE, YELLOW"
662-8200,EA,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER PVMT MARKING, HANDICAP SYMBOL"
662-8202,EA,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER PVMT MARKING, RR/HWY CROSSING SYMBOL"
662-8204,EA,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER PVMT MARKING, BIKE SHARED LANE SYMBOL"
662-8206,EA,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER PVMT MARKING, ARROW, TP 1 (STRAIGHT)"
662-8208,EA,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER PVMT MARKING, ARROW, TP 2 (LEFT OR RIGHT)"
662-8210,EA,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER PVMT MARKING, ARROW, TP 3 (STRAIGHT-TURN)"
662-8212,EA,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER PVMT MARKING, ARROW, TP 4 (PAVEMENT MARKING ARROW 64.5 SQ FT)"
662-8214,EA,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER PVMT MARKING, ARROW, TP 4 WITH RAISED REFLECTORS"
662-8216,EA,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER PVMT MARKING, ARROW, TP 5 (COMBINATION RIGHT AND LEFT TURN)"
662-8218,EA,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER PVMT MARKING, ARROW, TP 6 (COMBINATION LEFT TURN-U-TURN)"
662-8220,EA,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER PVMT MARKING, ARROW, TP 7 (U-TURN)"
662-8222,EA,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER PVMT MARKING, ARROW, TP 8, (LANE REDUCTION)"
662-8224,EA,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER PVMT MARKING, WORD, TP 1 (ONLY)"
662-8226,EA,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER PVMT MARKING, WORD, TP 2 (STOP)"
662-8228,EA,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER PVMT MARKING, WORD, TP 3A (SCHOOL-SINGLE LANE)"
662-8230,EA,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER PVMT MARKING, WORD, TP 3B (SCHOOL-TWO LANE)"
662-8232,EA,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER PVMT MARKING, WORD, TP 4 (AHEAD)"
662-8234,EA,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER PVMT MARKING, WORD, TP 5 (SLOW)"
662-8236,EA,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER PVMT MARKING, WORD, TP 6 (BUSES)"
662-8238,EA,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER PVMT MARKING, WORD, TP 7 (LANE ENDS)"
662-8240,EA,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER PVMT MARKING, WORD, TP 10 (LANE ENDS 1000 FT)"
662-8242,EA,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER PVMT MARKING, WORD, TP 11 (LANE ENDS 2000 FT)"
662-8244,EA,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER PVMT MARKING, WORD, TP 12 (LANE EXIT 1000 FT)"
662-8246,EA,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER PVMT MARKING, WORD, TP 13 (LANE EXIT 2000 FT)"
662-8248,EA,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER PVMT MARKING, WORD, TP 15 (YIELD)"
662-8250,EA,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER PVMT MARKING, WORD, TP 17"
662-8252,EA,* * * Requires Special Provision * * *,"INTERGRATED MULTIPOLYMER PVMT MARKING, SYMBOL, TP 1"
662-8300,LF,* * * Requires Special Provision * * *,"WET WEATHER INTERGRATED MULTIPOLYMER SOLID TRAFFIC STRIPE, 5 IN, WHITE"
